"Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq"
"CS00059	0.1	NC_017592.1	1	2036867	2198966	1215722	59.6859	101.619	35.7	31.6"
"CS00059	0.25	NC_017592.1	1	2036867	5497388	1540908	75.6509	253.882	35.7	31.6"
"CS00059	0.5	NC_017592.1	1	2036867	10996109	1730630	84.9653	507.924	35.7	31.6"
"CS00059	1.0	NC_017592.1	1	2036867	22002546	1860881	91.36	1016.43	35.7	31.6"
"CS00060	0.025	NC_017592.1	1	2036867	918050	469325	23.0415	25.6958	35.6	12.8"
"CS00060	0.05	NC_017592.1	1	2036867	1838901	641553	31.497	51.4698	35.6	12.8"
"CS00060	0.075	NC_017592.1	1	2036867	2758666	766721	37.6422	77.2035	35.6	12.8"
"CS00060	0.125	NC_017592.1	1	2036867	4599323	936319	45.9686	128.702	35.6	12.8"
"CS00060	0.1	NC_017592.1	1	2036867	3679250	861763	42.3083	102.941	35.6	12.8"
"CS00060	0.25	NC_017592.1	1	2036867	9195436	1190172	58.4315	257.232	35.6	12.8"
"CS00060	0.5	NC_017592.1	1	2036867	18379608	1435526	70.4772	514.19	35.6	12.8"
"CS00060	1.0	NC_017592.1	1	2036867	36755045	1637162	80.3765	981.98	35.7	12.8"
"CS00061	0.025	NC_017592.1	1	2036867	972265	140848	6.91493	13.8003	35.3	1.91"
"CS00061	0.05	NC_017592.1	1	2036867	1939444	210797	10.3491	27.5285	35.3	1.9"
"CS00061	0.075	NC_017592.1	1	2036867	2909822	260592	12.7938	41.3056	35.3	1.9"
"CS00061	0.125	NC_017592.1	1	2036867	4848816	341871	16.7842	68.8579	35.3	1.9"
"CS00061	0.1	NC_017592.1	1	2036867	3881055	306900	15.0673	55.1048	35.3	1.9"
"CS00061	0.25	NC_017592.1	1	2036867	9690270	481994	23.6635	137.621	35.3	1.9"
"CS00061	0.5	NC_017592.1	1	2036867	19377756	647613	31.7946	271.322	35.3	1.89"
"CS00061	1.0	NC_017592.1	1	2036867	38777470	831806	40.8375	343.918	35.4	1.89"
"CS00062	0.025	NC_017592.1	1	2036867	1095004	1236860	60.7237	58.9321	35.7	39.8"
"CS00062	0.05	NC_017592.1	1	2036867	2191238	1483062	72.8109	117.944	35.7	39.8"
"CS00062	0.075	NC_017592.1	1	2036867	3289605	1613404	79.2101	177.055	35.7	39.8"
"CS00062	0.125	NC_017592.1	1	2036867	5478384	1746944	85.7662	294.913	35.7	39.8"
"CS00062	0.1	NC_017592.1	1	2036867	4383563	1693788	83.1565	235.971	35.7	39.8"
"CS00062	0.25	NC_017592.1	1	2036867	10957799	1860824	91.3572	589.907	35.7	39.8"
"CS00062	0.5	NC_017592.1	1	2036867	21921218	1925646	94.5396	1180.34	35.7	39.8"
"CS00062	1.0	NC_017592.1	1	2036867	43839530	1963028	96.3749	2360.56	35.7	39.8"
"CS00063	0.025	NC_017592.1	1	2036867	931556	726669	35.6758	43.6249	35.7	30.5"
"CS00063	0.05	NC_017592.1	1	2036867	1863200	924698	45.3981	87.1828	35.7	30.4"
"CS00063	0.075	NC_017592.1	1	2036867	2794790	1057436	51.9148	130.769	35.7	30.4"
"CS00063	0.125	NC_017592.1	1	2036867	4657887	1216919	59.7446	218.048	35.7	30.5"
"CS00063	0.1	NC_017592.1	1	2036867	3725642	1143447	56.1375	174.362	35.7	30.5"
"CS00063	0.25	NC_017592.1	1	2036867	9312862	1424967	69.9588	435.997	35.7	30.4"
"CS00063	0.5	NC_017592.1	1	2036867	18629724	1603540	78.7258	872.277	35.7	30.4"
"CS00063	1.0	NC_017592.1	1	2036867	37255302	1744419	85.6423	1744.51	35.7	30.4"
"CS00064	0.025	NC_017592.1	1	2036867	555032	327818	16.0942	13.2881	35.6	11.9"
"CS00064	0.05	NC_017592.1	1	2036867	1110030	453131	22.2465	26.6136	35.6	11.9"
"CS00064	0.075	NC_017592.1	1	2036867	1664979	536864	26.3573	39.9318	35.6	11.9"
"CS00064	0.125	NC_017592.1	1	2036867	2775238	668173	32.804	66.5886	35.6	12"
"CS00064	0.1	NC_017592.1	1	2036867	2220216	610946	29.9944	53.2745	35.6	12"
"CS00064	0.25	NC_017592.1	1	2036867	5554687	860015	42.2224	133.39	35.6	12"
"CS00064	0.5	NC_017592.1	1	2036867	11111243	1059518	52.017	266.769	35.6	12"
"CS00064	1.0	NC_017592.1	1	2036867	22232625	1243047	61.0274	524.789	35.6	12"
"CS00065	0.025	NC_017592.1	1	2036867	357310	104321	5.12164	4.80264	35.5	4.85"
"CS00065	0.05	NC_017592.1	1	2036867	713621	156849	7.7005	9.59834	35.5	4.86"
"CS00065	0.075	NC_017592.1	1	2036867	1069912	198870	9.76352	14.3974	35.5	4.87"
"CS00065	0.125	NC_017592.1	1	2036867	1781791	251056	12.3256	23.9829	35.5	4.86"
